country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
CAN,Canada,4657,63982,0.9419129227,0.5155679622,0.3195190037,0.3115739747,0.3124328967,0.05024694009,0.5012076557,0.5299026065,0.02869495083,80,50970,83,65.4,1.91
POL,Poland,1443,8024,0.9024447793,0.4767844768,0.3194733195,0.2598752599,0.2674982675,0.03118503119,0.4511101641,0.5025820669,0.05147190283,60,12660,64.9,64.26,-0.14
GEO,Georgia,44,90,0.6914141414,0.5,0.3181818182,0.25,0.3181818182,0.04545454545,0.3583176054,0.6416823946,0.2833647892,NA,3280,36.6,NA,-1.31
HRV,Croatia,230,1174,0.8748389008,0.5043478261,0.3173913043,0.3,0.247826087,0.03913043478,0.4401936445,0.5683591588,0.1281655144,33,13290,59.6,NA,0.31
CYP,Cyprus,41,135,0.8556458898,0.4390243902,0.3170731707,0.243902439,0.2682926829,0,0.2989013174,0.5895947278,0.2906934104,NA,26000,57.7,NA,0.13
SVK,Slovakia,190,848,0.8452457795,0.4894736842,0.3157894737,0.2894736842,0.3157894737,0.02105263158,0.419310207,0.5600543726,0.1407441655,52,17180,74.4,55.96,-0.43
BIH,Bosnia and Herzegovina,61,184,0.7685317177,0.4262295082,0.3114754098,0.2295081967,0.3114754098,0,0.3101522194,0.5510476956,0.2408954762,NA,4650,60,NA,NA
AUS,Australia,3297,22533,0.8911169021,0.5280558083,0.3111919927,0.3269639066,0.3142250531,0.04640582348,0.5109928774,0.5450534376,0.03406056022,90,59570,79.5,69,1.75
BOL,"Bolivia, Plurinational State of",29,40,0.7982758621,0.3793103448,0.3103448276,0.1724137931,0.1379310345,0,0.226880221,0.5599745579,0.3330943369,NA,2220,30,NA,NA
TUN,Tunisia,84,475,0.9102506266,0.4285714286,0.3095238095,0.2261904762,0.2261904762,0.03571428571,0.3281597744,0.5352304725,0.2070706982,NA,4150,39.1,NA,NA
TZA,"Tanzania, United Republic of",13,29,0.7214854111,0.5384615385,0.3076923077,0.2307692308,0.4615384615,0,0.2914379571,0.7679393219,0.4765013648,25,570,12,NA,-0.15
TTO,Trinidad and Tobago,13,47,0.7332242226,0.5384615385,0.3076923077,0.4615384615,0.3076923077,0.07692307692,0.2914379571,0.7679393219,0.4765013648,16,14400,55.2,NA,-0.26
ITA,Italy,1416,6955,0.8799874699,0.4724576271,0.3072033898,0.2521186441,0.2838983051,0.04449152542,0.4465640515,0.4985002376,0.05193618613,76,33840,56.8,52.8,0.6
SAU,Saudi Arabia,62,148,0.808413252,0.4677419355,0.3064516129,0.2741935484,0.2258064516,0.03225806452,0.3490883297,0.5901596749,0.2410713452,25,21210,47.5,39.48,0.15
FIN,Finland,577,5588,0.9083174021,0.5268630849,0.3050259965,0.3466204506,0.3327556326,0.0554592721,0.4860817102,0.5672891357,0.08120742551,63,46940,89.4,64.4,1.12
KWT,Kuwait,23,123,0.8299752563,0.5652173913,0.3043478261,0.3043478261,0.3043478261,0.08695652174,0.3681137509,0.7436536467,0.3755398959,25,44100,74.2,41.8,NA
USA,United States,34219,338980,0.9265618787,0.5043104708,0.3040708378,0.3035740378,0.3057365791,0.04564715509,0.4990128168,0.5096071571,0.01059434036,91,50120,77.9,68.1,1.76
IRL,Ireland,659,2914,0.8537508735,0.5159332322,0.3034901366,0.2989377845,0.2974203338,0.03338391502,0.4777962131,0.553885571,0.07608935789,70,38970,76.8,69.47,1.18
DEU,Germany,4600,74012,0.9565917924,0.5052173913,0.3026086957,0.3032608696,0.307173913,0.05,0.4907708068,0.519655269,0.02888446219,67,44010,83,60.89,0.44
URY,Uruguay,119,286,0.8153611095,0.4789915966,0.3025210084,0.268907563,0.243697479,0.008403361345,0.3913052015,0.5679919279,0.1766867264,36,13510,51.4,49.61,0.99
SGP,Singapore,450,10826,0.9711903442,0.4644444444,0.3022222222,0.2644444444,0.2666666667,0.03555555556,0.4188600004,0.5106307957,0.09177079531,20,47210,71,59.58,NA
VEN,"Venezuela, Bolivarian Republic of",113,194,0.7807681781,0.4690265487,0.3008849558,0.2743362832,0.2123893805,0.008849557522,0.3795524552,0.5605373034,0.1809848483,12,12500,NA,46.12,0.43
KGZ,Kyrgyzstan,20,155,0.9119354839,0.3,0.3,0.2,0.3,0.05,0.1454772449,0.5189728184,0.3734955735,NA,990,20,NA,-0.91
BMU,Bermuda,10,59,0.8728813559,0.3,0.3,0.2,0.2,0,0.1077912674,0.6032218525,0.4954305851,NA,106920,88.3,NA,NA
CHE,Switzerland,999,6359,0.8865421484,0.5175175175,0.2952952953,0.3253253253,0.3023023023,0.05005005005,0.4865235235,0.5483773072,0.06185378371,68,82730,85.2,58.29,1.9
SWE,Sweden,1861,10752,0.903429136,0.470177324,0.2950026867,0.2686727566,0.2810317034,0.03546480387,0.447585803,0.4928917108,0.04530590778,71,56210,94,67.8,2.35
NPL,Nepal,167,282,0.8445237185,0.3892215569,0.2934131737,0.1976047904,0.1736526946,0.0119760479,0.3185575286,0.4648674067,0.146309878,NA,700,9,NA,NA
PAK,Pakistan,630,1353,0.8504827602,0.4063492063,0.2920634921,0.180952381,0.1873015873,0.02063492063,0.3686765253,0.4451570471,0.0764805218,14,1260,9,NA,1.25
GRC,Greece,463,5521,0.9564282928,0.464362851,0.2915766739,0.252699784,0.2591792657,0.03671706263,0.4194146382,0.5098975526,0.09048291441,35,23260,53,NA,0.55
